company_number,company_name,status,company_type,incorporated,sic_codes,accounts_overdue,cs_overdue,accounts_type,has_group_accounts,has_full_accounts,large_company_flag,last_accounts_date,accounts_description,filing_error
10434411,ABSOLUTE LIGHTING AND DESIGN LTD.,active,,2016-10-18,47910,True,True,,False,False,False,2024-07-22,accounts-with-accounts-type-total-exemption-full,
05769883,ABSOLUTE LIGHTING & EVENTS LTD.,active,,2006-04-05,93290,False,True,,False,False,False,2026-01-26,accounts-with-accounts-type-micro-entity,
12830907,ABSOLUTELY FABULOUS MAVERICKS LTD.,active,,2020-08-21,90030,True,True,,False,False,False,2023-05-09,accounts-with-accounts-type-dormant,
12218027,ABSTRACTED LTD.,active,,2019-09-20,"47250,47260,47290",True,True,,False,False,False,2022-09-29,accounts-with-accounts-type-micro-entity,
10920354,ABSTRACT WORKS LTD.,active,,2017-08-17,"62012,62020,82990",True,True,,False,False,False,2020-06-01,accounts-with-accounts-type-micro-entity,
12542276,ABUNDANT VENTURES LTD.,active,,2020-04-01,"64303,96090",False,True,,False,False,False,2026-01-30,accounts-with-accounts-type-total-exemption-full,
16101471,ACCED STUDIO LTD.,active,,2024-11-26,"59112,90030",False,True,,False,False,False,,,No accounts found
08204922,ACCESS SECURITY SOLUTIONS LTD.,active,,2012-09-06,80200,True,True,,False,False,False,2022-12-15,accounts-with-accounts-type-total-exemption-full,
15530832,ACCIDENTAL FOUNDER LTD.,active,,2024-02-28,47910,True,True,,False,False,False,,,No accounts found
09613369,ACCOR CE LTD.,active,,2015-05-29,68209,True,False,,False,False,False,2025-02-28,accounts-with-accounts-type-micro-entity,
16322629,ACCORDAI LTD.,active,,2025-03-18,"62020,63110",False,True,,False,False,False,,,No accounts found
09904759,ACCORD IT LTD,active,,2015-12-07,"62020,62090,70229",True,False,,False,False,False,2024-04-21,accounts-with-accounts-type-micro-entity,
12093574,ACCOUNT N SEE LTD.,active,,2019-07-09,69201,True,True,,False,False,False,2022-10-26,accounts-with-accounts-type-micro-entity,
11259974,ACCUBOLT GEOMATICS LTD.,active,,2018-03-16,71129,False,True,,False,False,False,2025-12-31,change-account-reference-date-company-previous-extended,
08979336,ACCU CONSTRUCTION SOLUTIONS LTD.,active,,2014-04-04,43390,False,True,,False,False,False,2025-07-15,accounts-with-accounts-type-dormant,
10661414,ACCUNEA LTD.,active,,2017-03-09,72110,False,True,,False,False,False,2026-03-31,accounts-with-accounts-type-micro-entity,
11230113,ACE ACCOUNTANCY AND CONSULTANCY LTD.,active,,2018-02-28,69201,True,False,,False,False,False,2025-02-10,accounts-with-accounts-type-unaudited-abridged,
11026818,ACE PROJECT MANAGEMENT LTD.,active,,2017-10-23,71111,True,False,,False,False,False,2023-10-31,accounts-with-accounts-type-total-exemption-full,
03963686,ACH FLOORING SERVICES LTD.,active,,2000-04-04,43330,False,True,,False,False,False,2025-11-27,accounts-with-accounts-type-total-exemption-full,
06814993,ACM TRADING LTD.,active,,2009-02-10,14141,True,True,,False,False,False,2020-12-01,accounts-with-accounts-type-micro-entity,
SC513582,ACORNA ECOLOGY LTD.,active,,2015-08-20,74901,True,True,,False,False,False,2024-08-30,accounts-with-accounts-type-micro-entity,
10248408,ACQUIRE SIGN LTD.,active,,2016-06-23,32120,True,False,,False,False,False,2025-02-25,accounts-with-accounts-type-dormant,
09215310,ACQUKANOS PVT LTD LIMITED,active,,2014-09-12,86101,True,True,,False,False,False,2020-08-22,accounts-with-accounts-type-micro-entity,
15744103,ACR S.A. LTD.,active,,2024-05-26,99999,True,False,,False,False,False,,,No accounts found
10814255,AC'S LANDSCAPING AND MAINTENANCE SERVICES LTD.,active,,2017-06-12,81300,True,True,,False,False,False,2024-01-02,accounts-with-accounts-type-total-exemption-full,
SC355563,ACT INT. LTD.,active,,2009-02-24,26200,False,True,,False,False,False,2025-11-14,accounts-with-accounts-type-micro-entity,
09843258,ACTIVE KIDS NURSERY LTD.,active,,2015-10-27,"85100,85520,85600",False,True,,False,False,False,2025-09-29,accounts-with-accounts-type-micro-entity,
10654810,ACTIVELY INTELLIGENT REHABILITATION LTD.,active,,2017-03-06,86900,True,True,,False,False,False,2021-12-31,accounts-with-accounts-type-dormant,
11052317,ACUMEN CAPITAL PARTNERS LTD.,active,,2017-11-07,"62020,62090,70229,94990",True,True,,False,False,False,2022-01-25,accounts-with-accounts-type-micro-entity,
09605053,ACUMEN GLOBAL LTD.,active,,2015-05-22,70229,True,True,,False,False,False,2022-05-11,accounts-with-accounts-type-micro-entity,
SC361006,ADAIR DENTAL LABORATORY LTD.,active,,2009-06-10,32500,True,True,,False,False,False,2022-03-14,accounts-with-accounts-type-total-exemption-full,
09333916,ADAMS & CO. ACCOUNTANCY LTD.,active,,2014-12-01,69202,False,True,,False,False,False,2025-09-19,accounts-with-accounts-type-total-exemption-full,
10020817,ADAPT SECURITY MANNED GUARDING LTD.,active,,2016-02-23,99999,False,True,,False,False,False,2025-12-11,accounts-with-accounts-type-dormant,
06983619,A. DAY TO REMEMBER CHESTER LTD.,active,,2009-08-06,82990,True,True,,False,False,False,2022-10-03,accounts-with-accounts-type-total-exemption-full,
12127600,ADCA LOGISTICS LTD.,active,,2019-07-29,"49410,52103,52219",True,True,,False,False,False,2022-02-16,accounts-with-accounts-type-micro-entity,
10086268,A D CERAMICS LTD.,active,,2016-03-29,81100,False,True,,False,False,False,2025-12-16,accounts-with-accounts-type-total-exemption-full,
03974076,ADDERSTONE CONSULTING LTD.,active,,2000-04-17,70229,True,True,,False,False,False,2022-08-16,accounts-amended-with-accounts-type-micro-entity,
10989897,ADDMORE PROPERTIES LTD.,active,,2017-10-02,68209,True,False,,False,False,False,2024-07-22,accounts-with-accounts-type-total-exemption-full,
11081525,ADEL CONSTRUCTION AND CIVIL ENGINEERING LTD.,active,,2017-11-24,"10890,42990,66190",False,True,,False,False,False,2025-08-22,accounts-with-accounts-type-micro-entity,
16306255,ADELES PANTING & DECORATING & GARDENING LTD LIMITED,active,,2025-03-11,43341,False,True,,False,False,False,,,No accounts found
16209774,THE ADHD-DEMENTIA DIAGNOSTICS CENTRE LTD LTD,active,,2025-01-27,84120,False,True,,False,False,False,,,No accounts found
