company_number,company_name,status,company_type,incorporated,sic_codes,accounts_overdue,cs_overdue,accounts_type,has_group_accounts,has_full_accounts,large_company_flag,type,jurisdiction,error
08979336,ACCU CONSTRUCTION SOLUTIONS LTD.,active,,2014-04-04,43390,False,True,,False,False,False,ltd,england-wales,
10661414,ACCUNEA LTD.,active,,2017-03-09,72110,False,True,,False,False,False,ltd,england-wales,
11230113,ACE ACCOUNTANCY AND CONSULTANCY LTD.,active,,2018-02-28,69201,True,False,,False,False,False,ltd,england-wales,
11026818,ACE PROJECT MANAGEMENT LTD.,active,,2017-10-23,71111,True,False,,False,False,False,ltd,england-wales,
03963686,ACH FLOORING SERVICES LTD.,active,,2000-04-04,43330,False,True,,False,False,False,ltd,england-wales,
06814993,ACM TRADING LTD.,active,,2009-02-10,14141,True,True,,False,False,False,ltd,england-wales,
SC513582,ACORNA ECOLOGY LTD.,active,,2015-08-20,74901,True,True,,False,False,False,ltd,scotland,
10248408,ACQUIRE SIGN LTD.,active,,2016-06-23,32120,True,False,,False,False,False,ltd,england-wales,
09215310,ACQUKANOS PVT LTD LIMITED,active,,2014-09-12,86101,True,True,,False,False,False,ltd,england-wales,
15744103,ACR S.A. LTD.,active,,2024-05-26,99999,True,False,,False,False,False,ltd,england-wales,
10814255,AC'S LANDSCAPING AND MAINTENANCE SERVICES LTD.,active,,2017-06-12,81300,True,True,,False,False,False,ltd,england-wales,
SC355563,ACT INT. LTD.,active,,2009-02-24,26200,False,True,,False,False,False,ltd,scotland,
09843258,ACTIVE KIDS NURSERY LTD.,active,,2015-10-27,"85100,85520,85600",False,True,,False,False,False,ltd,england-wales,
10654810,ACTIVELY INTELLIGENT REHABILITATION LTD.,active,,2017-03-06,86900,True,True,,False,False,False,ltd,england-wales,
11052317,ACUMEN CAPITAL PARTNERS LTD.,active,,2017-11-07,"62020,62090,70229,94990",True,True,,False,False,False,ltd,england-wales,
09605053,ACUMEN GLOBAL LTD.,active,,2015-05-22,70229,True,True,,False,False,False,ltd,england-wales,
SC361006,ADAIR DENTAL LABORATORY LTD.,active,,2009-06-10,32500,True,True,,False,False,False,ltd,scotland,
09333916,ADAMS & CO. ACCOUNTANCY LTD.,active,,2014-12-01,69202,False,True,,False,False,False,ltd,england-wales,
10020817,ADAPT SECURITY MANNED GUARDING LTD.,active,,2016-02-23,99999,False,True,,False,False,False,ltd,england-wales,
06983619,A. DAY TO REMEMBER CHESTER LTD.,active,,2009-08-06,82990,True,True,,False,False,False,ltd,england-wales,
12127600,ADCA LOGISTICS LTD.,active,,2019-07-29,"49410,52103,52219",True,True,,False,False,False,ltd,england-wales,
10086268,A D CERAMICS LTD.,active,,2016-03-29,81100,False,True,,False,False,False,ltd,england-wales,
03974076,ADDERSTONE CONSULTING LTD.,active,,2000-04-17,70229,True,True,,False,False,False,ltd,england-wales,
10989897,ADDMORE PROPERTIES LTD.,active,,2017-10-02,68209,True,False,,False,False,False,ltd,england-wales,
11081525,ADEL CONSTRUCTION AND CIVIL ENGINEERING LTD.,active,,2017-11-24,"10890,42990,66190",False,True,,False,False,False,ltd,england-wales,
16306255,ADELES PANTING & DECORATING & GARDENING LTD LIMITED,active,,2025-03-11,43341,False,True,,False,False,False,private-limited-guarant-nsc,england-wales,
16209774,THE ADHD-DEMENTIA DIAGNOSTICS CENTRE LTD LTD,active,,2025-01-27,84120,False,True,,False,False,False,ltd,england-wales,
